word,frequency
neuroses,2
disabilities,3
met!,4
seems.,13
T'weren't,1
'thank,2
you'?,2
meetings,14
attendance.,3
"Brothers,",1
radical,11
shaping,5
'Incurable.',1
doctors.,14
treatments.,4
Build,8
pyre.,1
passing.,13
grace,21
longed,3
kinder,4
Afraid...,1
ugly...,3
Friends?,7
seeking,18
outcast.,2
Worse.,7
scurry,2
shadows.,8
SHE'LL,3
NEVER,11
YOURS!,1
SAID,3
NAME!,1
REMEMBERS!,1
AWAY,3
HER!,5
SHE'S,5
MINE!,3
suitor.,1
mild,4
Extremities.,1
pleases,7
"north,",17
bride,18
furthest,3
reaches,18
"Pole,",3
foot.,29
vow.,6
consent?,1
"being,",20
demonically,1
indulge,4
"motion,",3
Frankenstein.,8
companion.,8
female.,10
Friend?,3
hazy.,1
taunt,2
beckoning,1
splashing,4
stream.,6
Trace,2
reside?,1
speaking.,26
learned...,2
Materials.,1
soul?,7
comprised?,1
mother...,22
abandoned,37
disgusting,22
crime...,5
"Maker,",3
Milton,6
"thee,",14
clay,4
mould,1
solicit,1
Darkness,3
agitated,6
banned.,5
Ingolstadt.,2
rumors.,8
rumors,18
cholera,4
Hamburg.,2
expelled,7
professors,2
"""pompous...",1
"Fellow...""",1
Must've,15
row.,16
beautifully,8
"One-two-three,",2
"one-two-three,",1
twirl-,1
two-three...,1
Scandalous!,2
otherwise.,33
shhh...,2
indignant,2
tears!,1
Claude,16
Willie?,11
locket,4
apology...,1
dissection,5
lab!,3
opinionated.,1
no-one!,1
Victor!,1
ballroom,2
saw?,9
misguided,3
pointless.,6
resolved.,2
separation,6
solitude.,3
carcass.,3
Hanging,8
storm...,4
gloating,2
crimes...,1
challenging,7
join.,2
soul...,3
Willie's,1
estate?,4
still?,8
delicious?,2
feels...,6
incestuous.,2
pestilence...,1
purge,3
fear...,4
Prouder,2
handsomest,2
"send-off,",1
Wonderful.,14
drivel!,1
Willie.,11
Progress,2
consumed.,1
waltz!,1
outrage,2
skies!,1
Willie!,2
comforted,4
held!,2
dizzying,3
care!,15
dizzy!,1
cherish,6
Raving,1
devil.,16
Gather,3
cabin.,15
guest?,2
mutiny.,3
assurance.,1
Professor?,8
foresee,2
lifetimes?,1
convinced.,6
"symptoms,",2
diving,5
jealously-guarded,1
eradicated?,1
charity,15
vaccine,7
pit,14
charnel,1
down-and-outs,1
fend,5
"moderation,",5
Clerval.,3
bedside.,2
round-the-clock?,1
Krempe's.,1
nursing,10
diagnosis?,2
cholera.,1
"pneumonia,",4
exhaustion,2
A...,7
"Slowly,",3
sip.,6
touch-and-go,1
militia's,1
arriving,12
outbreak.,1
Thousand,8
Classes,1
suspended.,4
University's,1
materials,11
longer?,8
Waldman's,2
Krempe,2
sympathetic.,2
preoccupied.,4
poor!,1
Blasphemy,1
damned!,4
Waldman,2
blasphemy!,1
resent,19
Waldman?,1
death!,17
scene!,3
Henry!,7
"listened,",1
undreamt,1
"...yes,",5
smallpox,1
eliminated.,1
era,14
breakthroughs.,1
Jenner.,1
"leeches,",1
pioneered,2
frontier,5
Writing,6
journal,8
...keep,1
daughters?,3
Magnus?,1
Agrippa?,1
toadstools,1
hare.,1
clearing,10
claimed.,2
coveted.,1
possession?,4
Murder,8
misdirected,1
passion?,2
"Moritz,",1
Frankenstein?,7
broken?,6
storm?,4
Freezing,1
wet?,5
Despite,13
challenge.,11
approved,15
Frankenstein,7
mysticism?,1
"Frankenstein,",2
geneva.,1
Albertus,1
Magnus.,1
Agrippa...,1
Paracelsus?,1
imagination,12
intellect.,7
"Paracelsus,",1
Philosophical?,1
"Professor,",21
"science,",18
pursuit,9
dogmatic,2
precept.,1
yourselves,25
disciples,4
hallowed,3
sect.,1
priests...,1
scripture,1
verse.,4
diseases.,4
evident.,1
gracious.,3
Numbers,1
system?,8
Re-configure,1
leads?,13
pride?,2
waste.,17
"""...a",2
aloud,3
assembled,5
faculty.,1
draft,14
Krempe...,1
thrilling,3
explore.,6
Thrilling,2
Science,28
realm,4
reckless;,1
Assess,2
expense,23
Combining,1
views!,1
"value,",4
ghoulish,2
trick.,33
classroom.,6
fantastic!,7
Electricity.,1
Canton.,1
missionaries.,1
fascinated,15
Preposterous.,1
embrace,11
discarded,6
disdain,2
wisdom?,4
strangled,12
cling,6
provoking,4
impatient,8
Waldman.,1
Frankenstein...,1
"kindred,",1
pursuits.,2
capricious,2
Madness?,1
madness?,3
Lives,15
"gain,",1
achievements,4
behind...,7
persist,6
voyage.,13
Creature?,1
creature?,6
bedeviled,1
Would-be.,1
plagued,4
difficulties,4
explorer.,3
startling,1
Archangel,4
physician?,2
Frostbite.,1
Gangrene.,1
diagnosis.,1
broth.,3
Christy.,8
"young,",52
Marcie?,3
Ned?,7
Brenda.,9
Melvin,4
Belli.,1
Shows,3
Marcie's,1
courts.,8
Steve,42
Camp,26
Crystal,19
grubby,3
boathouse.,1
canoes.,1
Brenda?,3
Marcie,4
Ned.,12
Push.,2
Cabin,5
crossroads.,1
Steve'll,1
Jeep,3
run?,17
Wet.,3
dime?,3
quarter?,6
guys!,25
softball,3
drenched.,2
bulb,5
gloomy,2
Trouble?,2
Slipped,1
children...,11
asleep...,8
hurts?,2
Artist.,1
Filmmaker.,1
spooks,4
leaving?,30
Un-hunh.,1
True?,2
Annie.,31
boats.,17
z's.,1
"entertainment,",4
campers,3
drowned.,13
counselors,4
Claudette.,2
Barry...,2
Barry.,21
Somebody'll,1
Claudette...,1
shots.,25
Chance,10
even?,4
stuck?,2
Floor,2
springs.,1
mouth-to-mouth,1
wily,2
oriental!,1
"Watson,",4
hath,12
"wrought""",1
telegraph.,1
wrought?,1
bushes,11
show-off,2
Dancer.,2
bows,4
tack,4
angry?,13
generators!,1
campfires.,1
shitty.,5
goodies,5
camper,7
"Coach,",1
Quote:,1
Controlled,1
substances,2
Possession,7
campgrounds,1
dismissal.,3
Unquote.,3
paragraph,2
Christy's,3
Whassamatta?,1
Umhummmmph.,1
Mmmmmmmph.,1
Mmmmmmmph?,1
Lead,11
brick?,1
storms.,3
motherly,2
lectures.,2
Ned,17
Ned!,3
Neddy.,2
Neddy?,1
Wind's,1
shifted,9
small-minded,1
Chrissakes.,7
jay?,2
brochure!,1
"""Camp",2
"program.""",1
"Scarlet,",1
Wind?,1
"cream,",12
Fireman.,1
Cowboy.,6
counsellor,1
babes,5
Aw.,2
'Less,3
drownded.,1
13th.,4
statistics.,5
"accidents,",2
"robberies,",2
"rapes,",2
"homicides,",2
camp?,10
junk!,4
Vacation.,1
bullfight.,1
Vamanos!,1
'90.,2
El,65
"Seth,",10
psychos?,2
vampires.,14
Psychos,1
sunlight,6
rowdy,1
dusk,1
dawn.,22
place's,2
forsaken,4
"Mexico,",15
rendezvous,15
Whatsamatter,5
Kate,11
"""go",4
Cover,14
"killers,",7
border.,24
wiseacres,1
"hitchhiking,",1
Stop?,2
"motel,",7
"Paso,",3
dive's,1
nomad,1
waifs,1
truckers,2
longtime.,1
shipments,2
godless,2
he...?,3
"covered,",4
cross?,3
Taiwan?,1
official?,1
"vampires,",5
represents.,2
holiness.,1
crucifix.,5
Winnebago.,1
vampires?,3
Crosses,2
vampires,19
"vampires""",1
vampires!,3
Forever,2
won?,10
"Texas,",13
"FBI,",29
border,28
across.,10
"loser,",11
melon,1
smilin',1
"smile,",12
"Jack.""",1
stewing,2
ape,18
agitated?,1
Scotty?,6
religion?,3
Pass.,9
4-H,2
club.,59
Then?,5
"Pops,",6
Kate's,1
temple.,4
Pops.,10
touches,24
"Richie,",6
"dickhead,",1
scooters.,1
passive.,4
an',395
rat's,6
which.,10
receiving,13
prying,8
Was?,1
minister.,3
McCoy.,8
minister,5
Away,13
IRS.,6
McCoy?,5
Whewww!,1
instantly?,1
brakes,6
suddenly.,7
slid,8
"crashed,",3
Auto,4
Kate.,21
Jacob,10
Fuller.,2
"biblical,",1
"sugar,",9
Vietnamese.,5
Japanese.,8
fags?,2
"undead,",1
One...two...,1
three...,22
four...,7
"effect,",5
daddy?,14
"beds,",3
flop,10
chooses,6
"preacher,",8
"priest,",14
"nun,",4
rabbi,2
Buddhist,2
monk.,2
"Many,",2
reflection,9
lapse.,2
awakening.,3
pastor.,4
Jenny's,4
congregation,2
leadership.,2
Bethel,1
Baptist.,3
honest-,1
to-goodness,1
"act,",15
bitterest,1
pussy?,3
bikini,5
"contest,",4
parasites,7
cocking,1
Noooo!,5
Peachy!,1
"oyster,",1
"vampire,",4
hunky-dory.,1
cutie,2
G-O-N-E,1
F-R-E-E.,1
"pecker,",2
"Scotty,",16
Richie,5
"""Digayo.""",1
"Digayo,",1
"miles,",18
Titty,2
"Twister.""",1
bible.,3
bible,7
"longer,",19
Sword,3
Damocles,1
Seth's,1
solved,7
mere,23
unsolvable.,1
Whistling,1
#9.,1
Creepy,1
wood,22
paneling.,1
"wood,",5
television!,7
microwave,10
assumption.,6
"Bureau,",4
Rangers,15
manhunt,2
store's,4
clerk.,9
eyewitness,2
optimistic,5
"Abilene,",2
authorities.,10
fugitives,4
"Chase,",4
confident,18
apprehend,4
dragnet,1
snare,2
Seth,1
Gecko.,1
Six-fifty.,3
booze.,7
payback,2
commode.,1
"Rangers,",2
teller,6
grease,10
pit?,2
Nadine's,1
potato,14
Abilene,1
"tent,",6
burgers.,1
Mongoloid's,1
retards,6
public?,11
"Awww,",3
shitass,1
Nadine,1
Chip,4
Mongoloid,3
grill.,1
Rice,8
Krispies.,2
pukin',2
blanket,16
Whatsamatter?,1
burritos,1
hippie,6
Daniels.,20
tanked,2
lunch?,30
blastin',2
Richie!,2
liar?,7
scratching!,1
scratching.,1
signals?,3
"""Benny's",1
"Blood.""",3
Letting,9
grabbin',2
dya,2
Whiskey!,1
Scarred,1
Por,1
Senorita.,1
Richie.,2
seein',27
sippin',2
margaritas,2
ain't.,33
fuck-with-you-bar.,1
"likelihood,",2
green.,16
"lookin',",3
hole-in-the-,2
wall's,1
pair!,3
Carlos,23
escorts,1
"""South",2
"way.""",2
smacked,3
"hurting,",3
sack,28
potatoes.,6
rotting,13
nutty.,1
nuttiest,1
spic,5
pigs!,3
"pill,",4
implying,12
Richard!,3
"Wrong,",8
mouthful.,1
Richard!?,2
Rangers.,6
Texans,2
Paso,7
Longer,2
binoculars,3
getting.,5
border?,1
Cops.,5
Sight,2
seein'.,1
firecracker,3
salesman,18
Tijuana.,5
"""barter"".",1
loot.,1
scripture.,1
"written,",6
"sanctuary,",1
negotiate?,1
eavesdropping,2
son-of-,5
a-bitch.,1
waterbed?,1
X-rated,4
channel?,1
Seth?,1
map,49
bottles,14
shot!,13
"""Help",1
Richie?,1
"magazines,",5
mouth:,1
signaled,3
Ranger.,5
bat-things,1
fling,6
preacher.,8
Kathy?,4
"""See",3
"Addendum.""",1
Checking...,1
"""sponsoring",1
"officer""?",1
"""Wickwire,",2
"Dane.""",1
rank.,3
Who's...,2
Lieuten,1
Ensign,4
Blondell.,1
klatches.,1
uprising.,3
old-time,1
den.,5
sailor's,4
"""Gee,",2
"Navy!""",1
poster.,5
"""we""?",2
lieutenant?,3
Clemente,2
Supposed,8
hell-and-a-half.,2
lieutenant.,7
ensign.,1
"B.O.Q.,",1
starboard,9
"""Security""?",1
secure?,4
V.I.P.,1
"Jordan,",7
"prerogative,",2
seein's,1
r.p.m.,1
coordinated,1
via,7
Hayes,9
shade?,1
"""Midnight",2
"Mahogany""?",1
'Cuz,6
Reagan,8
mouthin',1
Senate,32
Arms,5
Committee?,3
smarts.,3
infringe,1
liberties,2
trim,8
Constitution.,1
reporters,23
"Toadsquat,",1
"""G.I.",4
"Jane""",2
highway,9
telephoto,1
lenses,3
photographers,2
snappin',1
fill?,1
Basically,10
unring,1
bell.,10
"lieutenant,",7
0-200,1
bowels,4
movin'.,6
command...,6
forward?,5
O'Neil.,14
Dismissed.,4
mud...,1
"lesbian,",3
delicate,22
fraternization,1
variety.,6
"Specifically,",2
"""...",18
manner,32
"unbecoming.""",1
"evaporate,",1
"""We'll",2
"sociologist,",1
BRIDGE,1
GAME,1
AFTERWARDS!,1
"article,",3
contend,1
bitchin',3
hairy-chested,1
Senator?,10
Across,12
'Least,3
stench.,2
"resent,",1
day-care,1
officer's,4
lounge,3
OB/GYN,1
pap,3
smears.,1
"perfume,",3
three-dollar-and-fifty-,1
"cigar,",4
phallic,2
offend,13
fragile,14
sensibilities.,1
DOES,4
commander?,1
"fart,",2
Pardon?,14
brain-fart?,1
outsider?,2
flag,21
"""Yeah,",5
"but...""",2
petticoat,1
base?,7
"civil,",3
complaining.,12
"double-standard,",1
deferential,1
treatment.,19
"specifics,",1
X.O.,1
mistreated,1
"statements,",2
completing,7
operational,14
"needs,",5
classmate,1
harassing,7
unbecoming,2
"manner,",3
Questions?,3
Barber,4
regulation,6
integrating,2
Spec-Recon,3
"smooth,",9
painless,2
beverage?,3
lieutenant...,1
Entering,4
"Newberry,",1
South?,3
Motherachrist...,1
paddles?,1
Banditos,1
perimeter!,1
yards!,1
blanks.,7
Smoke,9
announced,11
sponsoring,1
legislation,2
"stroke,",4
1948,3
Exclusion,1
Laws.,3
S.E.R.E.,2
Pentagon,17
plumbing.,6
overplayed,1
"tenor,",2
ill-spirit,1
degrading,4
remarks,9
aviators...,1
innuendo,2
unrelated,7
situations...,1
prior.,1
downed,3
aviator,3
disturbed,19
Hayes.,7
bodes,2
confirmation,10
carrier.,9
Navy,30
"""pilot",1
"error,""",1
hmm?,2
Navy's,3
F-14,4
aircraft,8
Female,7
"aviator,",2
"conclusion,",1
Madam,22
Lark,1
"Report.""",1
discontinue,1
blood-type.,2
seemingly,5
incontrovertible,4
attitude,35
Case,21
"whoa,",12
whoa.,6
"""Land-based",1
maritime,3
"specialties.""",1
de-euphemize,1
naval,3
land-based,1
specialties.,1
instituted,1
courses,12
oblige.,2
darlin'.,27
SecNav,1
communication,23
verifiable.,1
Wickwire,4
hard-charger,1
"skills,",4
Squat-pissing,1
third-world,1
rhetoric,1
headlines.,4
Jordan.,11
victory.,11
combat.,11
net.,15
third-rail,1
campaign,30
"possibly,",2
man's?,1
"Roper,",2
"Harris,",5
Gallop,1
bandwagon,1
bandwagon?,1
changed?,13
fail?,4
nominated,9
Wickwire.,2
gearing,3
child-care,1
all-woman's,1
"gambler,",5
O'Conner's,1
"Diego,",10
promenade,2
base.,20
"complain,",3
litter.,3
"Jumping,",1
expedite.,1
Dwyer.,1
Technically.,4
non-policy.,1
Ma'am.,21
Beggin',1
combat,14
"""Coronado.""",1
High-school,1
pentathlete...,1
ROTC,1
"scholarship,",3
honors...,1
Training...,1
constituent,1
regarding?,3
drawer,6
silk,18
stockings,6
"Jane.""",2
apparent,8
quietly.,8
DeHaven's,1
thunder?,2
picks.,1
commando,2
Reconnaissance.,1
drop-out,1
programs.,7
Seals?,1
Spotted,1
Pri,1
"air,",42
A-team,1
o'clock!,6
"Marking,",1
marking!,1
"Flea,",2
"'Cool,",1
"Cortez,",3
Newman,3
"minis,",1
"Go,",20
el-tee!,1
"Basher-Basher,",1
extraction.,1
PRC,2
fix...,5
"captured,",2
el-,1
'Snot,1
Flea?,2
size?,9
"""F.",1
"Montgomery""",1
whittled,1
"""Flea.""",1
"Montgomery,",3
"""Flea""?",1
C.O.'s.,1
O'Neil?,6
Flea!,1
O'Neil!,1
line?,25
Montgomery...,1
butts!,2
MARK!,1
"O'Neil,",2
Five...,6
realizes,12
equal-rights,1
bareback.,2
"trainee,",1
baby-sitter,3
Boat,8
"Wickwire,",1
"Cozad,",1
"Vinyl,",1
"Intagliata,",1
"Ayers,",1
Wise.,1
"surprises,",4
Pyro.,3
one'll,5
Miller.,12
depleted,2
uranium.,3
speculate,7
coincidence?,5
17-hundred,1
18-hundred,1
Saudi,7
Arabia.,5
Cross...,1
"""all",3
"females""?",1
Automatic,4
five-second,1
"deduction,",4
"""gender-norming,""",1
O'Neil,1
courses.,2
"""Yes,",7
Jordan,9
"long.""",1
guy-speak,2
"favors,",6
stationed,11
Norfolk,7
Coronado.,1
Staring,5
dispensation,2
"Dane""...",1
Coronado...,3
"""Appropriation",1
Liaison,1
"Office,""",1
dry-docked,1
stints,1
"Washington...""",1
leveraged,2
Instructors,1
"""John",3
"Urgayle.""",1
headwork.,1
unanswered,3
Royce.,6
headwork,1
Turrentine?,1
C.O.?,2
shortage,10
"""Wickwire.""",1
Striking,1
crowd.,24
you:,38
"Royce,",1
"jets,",6
symbols,5
gunning,6
sizing,1
article...,2
Jordan...,1
Sounded,3
"Wai',",2
days...,33
ball-breaker,1
advance...,2
operational...,1
off-limits,3
topped,3
Intel.,2
ceiling,6
haze,2
grey,16
underway...,1
upperdecks,1
bullpen.,1
Navy?,3
shit-hot,1
Feet.,1
Spec-Recon.,2
why're,3
"glory,",6
11-hundred,1
Intel,4
sweating,15
sidelines.,2
CNN,2
Pentagon?,4
"headwork,",1
"waters,",3
extraction,6
sub,16
bare-back?,1
Quick-hit,1
Capone.,4
Rigged,1
getaway,9
handles.,5
DPRK-57,1
doped,6
contingency,5
plan:,5
Team,14
"infiltrates,",1
"package,",9
sub.,13
hatches.,1
periscope,1
Blank,2
Halfway,4
Korean,8
"protected,",4
monitored,7
propagandized,1
Early,15
Warning,2
Extraction,1
Seals,1
Delta,9
Force.,19
conventional,5
off-shore,2
Polk?,1
analyst,8
Chances,3
Signals,1
"sparingly,",1
conclude,4
beacon?,1
decoy?,2
Watcha,4
Stuck,5
traffic?,4
violations.,3
salad,17
pasta.,3
"Wick,",1
McP's,1
ex-girlfriend.,1
"talkin',",5
Wick.,4
Wick?,2
Worth,10
training...,3
divorce...,2
dead-ass,1
guard's,4
"chest,they",1
Marlboro,3
rekkie,1
Libyan,7
coastline.,1
Khadaffi,1
tense.,15
nighttime,2
"infil,",1
maps,7
artillery,5
placements,1
"guards,",6
Wick...,1
tell...,7
Intagliata,1
Week,6
ballsy.,1
levels,19
harassment,3
equals,9
"oar,",1
minis,1
"mini-tanks,",1
'Cool?,2
lookin'!,1
32,7
inches!,3
Mighta,1
hostiles,1
concentrating.,5
O'Neil...,1
"15,",5
micks?,1
Managed,1
ELB.,1
helo,1
winch,3
blocked,18
reef.,2
"unlucky,",1
gluttonous,1
alloy,4
only've,1
bamboo,4
cage.,22
"womb,",1
joy-,1
"Seal,",1
"cage,",12
Eggs,2
Ham.,1
"Jane,",20
Spot.,2
Sisters?,2
"""Dad.""",2
Remember.,5
crews,4
leaders.,7
McCool's,1
j.g.'s.,1
fracture.,1
Females,1
cohesion.,1
historical,13
210-pound,2
"clear,",24
barrack,1
Cross.,9
viscera,1
limbs.,2
Israeli,2
wounded,33
detriment,1
endangering,5
Educate,2
Slutnik.,1
Guard.,6
FLEA!,1
EYES,1
SPOT!,1
Cortez?,1
tools,9
wrench,5
MOVE!,3
fire-and-evade,1
"speed,",11
link-up,1
North?,3
Clear.,1
Ape.,2
"classmate,",1
WOULD,7
HERE?,6
lookit,3
bringin',13
Tampax,1
C.O.,5
HEY.,3
drawers,4
go-to-shit,1
tent,18
circus.,12
Darth,5
Vader,15
poetry...,1
CIA,35
spook.,1
outcome,4
man-in-place.,1
controllable.,2
"""mole""?",1
handled,41
sloggin',1
implications,8
beyond.,3
Seems...,1
Women.,9
DeHaven,2
taps,1
constituency,1
"wins,",9
spades.,8
higher.,11
DeHaven.,1
Sabotage,1
economics?,1
failure?,3
subs,7
fleet,20
Trident's,1
co-ed?,1
Pentagon's,1
sights.,5
E-Ringers?,1
integration,4
file-closed.,1
Subject?,1
Me!?,2
"vicious""",1
Crying,1
Audrey?,5
Audrey's,2
"Audrey,",7
hey!,11
"slime,",2
chunks...,1
bites.,5
JFK?,1
rain!?,1
avenue,4
JFK.,3
8th,2
57th,2
repaired,6
Lucy'd,1
"Animal,",6
Perfect!,8
Animal?,5
become?,5
Audrey.,4
report!,5
Animal.,4
Nearly,5
steady?,2
Somehow,32
contacting,5
intranet.,1
Ranger,10
Circuits,1
overloaded.,2
Nesting?,2
"evolution,",2
reproduces,2
asexually.,2
distances,1
reproduction.,2
insufficient,3
"progenitors,",1
nesting!,1
hormonal,4
indicate,18
pregnancy.,6
...he's,10
Blood,21
sample?,2
sample,16
evening...,7
inadvertently,3
effect?,3
attend,32
awareness.,4
idealism.,3
anti-nuke,1
activists,1
Nuclear,13
Regulatory,3
Commission?,3
"letter,",24
earthworms,2
"""boring""",1
creatures.,9
"reliable,",2
"dependable,",2
surprises...,1
Audrey?!,1
"wow,",11
how've,2
Luce.,3
Caiman,1
forgery,3
kit,6
Panama.,5
glue?,1
t.v.?,1
Tatopoulos.,2
sweetie!,1
t.v.,3
scum!,2
Caiman's,1
p.o.'s.,1
"Caiman,",4
exclusive!,2
Audrey!,1
information...,2
military...,2
weekends,10
Caiman...,1
Rodriguez.,2
Humphries?,1
Evacuate,2
Manhattan?,4
"aberration,",1
hybrid,2
region.,3
Chernobyl?,1
Tatopoulos,2
Elsie,2
"Chapman,",1
paleontologist.,4
Tatopoulos...,1
Pierre?,2
"Allez,",1
allez!,1
Merde!,3
"cement,",3
brick,28
mines,12
"bombs,",3
island!,8
tunnels,10
burrow,1
quarantined,3
"CHARGEURES,",1
tent.,22
It's...oh,1
"born,",24
situation's,1
revealed,10
seeking...,1
bled.,1
"earthworms,",1
suggesting?,5
evade,4
sighted,4
Polynesian,1
Pacific.,6
"anomaly,",2
prints,29
footprint.,3
sample.,6
Study,6
recklessness.,1
biologist.,1
Chernobyl,3
Mutated,2
earthworm's,1
DNA!,2
interrupted,5
earthworm?,1
Commission,23
Niko,1
Topopolosis?,1
Organize,3
divers,5
retrieve,8
ringing,21
"Anderson,",6
lure,11
portion,12
Park...,1
sequestered,2
revoir.,4
au,6
revoir,1
Raymond.,8
555-7600.,1
dragonfly.,1
Contact,8
bomber,1
hors,12
d'oeuvres.,1
ventilation,4
Foreign,15
Legion.,1
secrecy?,2
military?,1
buy.,17
"We,",18
creature's,2
Service.,12
"SDECE,",1
Documentation,1
Exterieure,1
Contre-Espionnage.,1
"impertinence,",1
Quellek.,2
LIving,1
"Quellek,",1
and-Suddenly,1
PISTOL,1
BLAST,1
Quellek's,1
RED.,1
Quellek,1
horrified.,2
Open.,1
normalizing.,1
Mak'tar,1
stealth,3
haze.,1
Ipthar!,1
uh!,2
Grabthar's,3
"Hammer,",6
Suns,1
Warvan,1
you-,28
mapper.,1
programed,1
Beryllium,11
Sphere,4
density.,2
facilities,7
absent,7
extrapolate,1
anatomy.,5
bathroom?,26
"spikes,",1
distractionless.,1
only-,2
I-,18
Lazarus...,1
breaching,1
but..,3
humbled,3
presence...,1
missions,3
extensively...,1
"Thermian,",1
"philosophy,",7
Mak'tar.,1
slowed,14
"Gwen,",5
calculate,5
"Guy,",14
cet,2
tne,2
lets-,1
detected,9
Sarris',2
shiD~,1
I'mo-,1
.....,3
~hex!,1
oKav?,1
Sense,3
"""Egomaniacal",1
"sonofabitch?""",1
"""Purple",1
"monstrosity...?""",1
up.',6
"monstronsity,",1
Hundreds,5
Commander.',1
egomaniacal,2
caraft...,1
rock...,4
Peaceful..,1
"Tranquil..""",1
"...""Oh,",1
noise...,2
"noise,",10
MOVEMENT.,1
VIBRATIONS.,1
vibrations,5
knife!...,1
CRUSH,1
"vibrations...""",1
ROCK,1
MONSTER!!!,1
motivation!,1
motivation?,4
ALEXANDER???,1
PLEASE?,2
"advisor,",3
ideas!...,1
Fred's,2
squeal.,2
forgot!,3
Heaven,29
spotlight,2
Nesmith,1
possibly-,1
sphere.,11
scale?,1
miles?,4
GOING!,3
"INSANE,",1
FULL,3
ALMOST,2
THROUGH!,1
thruster,3
boosts,2
gasoline,10
"""Just!?""",1
PROTECTOR...,2
Leadership....,1
blocking...,2
asked...,4
Galaxy,2
loyalty...,4
...Damn,1
say-,3
WILL,28
Friend.,5
episode,23
entirely!..,1
nocturnal.,2
sundown,2
hunt.,12
nightfall,3
mounting,1
31.',1
ludicrous.,4
"costume,",3
uniform?...,1
...Sleeves,1
biceps...,1
"""Laredo""",1
"""Laredo?""",1
makeup,12
everything1,1
drifting.,3
magnetic!...,1
wrap!,1
THINK!?,1
into?,12
on?!!?,1
phrase,21
Alex...,5
III...,1
booked,16
appearance,27
twit!,2
159,2
NT.,2
LIVING,3
ROOM,5
SOMEWHERE,1
NIGHT,16
"cannibals.""",1
sonofabitch.,16
sense...,4
fortified,3
creatures...,2
WATCHING?,1
miners?,2
pub.,5
"""Go",11
cloud!,1
FRONT,4
ARMOR,1
SLOW,1
DOWN,9
LITTLE!,1
WE'VE,4
gaining...,2
repeating,13
the..,3
rubbish,3
roomful,6
hangers-on.,1
Spring.,4
market?,7
Alex,62
-just,1
God....,3
terminally,1
selfish!,1
online.,3
"Kyle,",9
downloading,2
unacceptable.,4
sectors,2
1-28.,1
utility,4
"walkthrough,",1
"pleasantries,",2
Kyle.,15
overloads.,1
Brandon.,14
probably...,7
dissed,1
"AGAIN,",2
Brandon!,1
JASON,2
~~othIno.,1
-ust,1
oncuont,1
wou~o,1
oc,2
oomooooateo,1
onan,1
onat.,1
It?,7
Raise,21
oaneh.,1
Berithium,1
lava,2
handholds,1
Up?,2
Up.,14
"Madison,",3
GO.,5
But-,2
Madison,14
crushers,1
intervals.,6
bottom...,2
Commander...,7
chompers,1
pit.,7
BRANDON!,1
TIME,5
boyfriend's,11
screenwriter.,1
Omegaman.,1
conclusion?,1
"REARRANGER,",1
converting,3
activation,1
effecting,1
heated,3
"collapser,",1
lasting,7
Omega,8
Brandon..,2
marked,28
"""CORE",1
"UNIT?""",1
person...,12
"T,V",1
doorway,9
manufacturing,4
turn...,5
Past,4
units.,16
antimatter,1
vent...,1
it!...,3
KNEW,2
"braincase,",1
"Sphere,",1
diagital,1
conveyor...,1
a-,8
Listen-,3
constructively,2
"Brandon,",2
"convention,",6
right?...,5
sharply,3
accidently,5
traded,12
Vox,2
bumped,19
Saturday.,34
flux,5
auxiliary...,1
wondering-,1
"sets,",4
"props,",2
Quasar,2
"Dilemma"",",2
auxiliary,8
b,4
Gamma,4
online,2
blueprints,5
"matrix,",4
lies?,4
having.,13
Sentient,1
however-,1
",~",1
-cc,1
PINK),1
functional.,4
"Negative,",4
sphere,11
fractured...,1
fractured,3
"Computer,",8
engines?,2
velocity.,3
sustaining,2
structural,6
damage!...,1
room!..,1
Tuaran,1
"""historical",1
"document""",1
Computer?,2
Structural,1
68,1
OK!,4
bonding,5
substrate!,1
molecule,4
sharing,21
electron,4
bombard,2
reflective,1
isotopes!,1
Covalent...,1
mean?!!!,1
perhaps...,7
covalent?!...,1
valence,1
bonds,10
bi-laterally?,1
U....,1
bathwater,1
Hopkins?,2
worship,19
"Fred,",12
Regional,1
Hoffman.,1
"mark,",5
consistency,2
Kwan.,1
Dependable...,1
controls..,1
Gorignak.,1
conveyer?,1
diced,1
cubes,1
pieces?,6
Fred....,1
hologram...,2
"I...Well,",1
nearby,8
re-configure,1
matrix,11
endothermic,1
propulsion.,1
plucky,4
"relief,",3
glorified,5
"extra,",3
valve,4
gone...,15
conveyor!,1
conveyor.,1
"""k""s",1
"""v""s.",1
"31,",2
hologram?,1
MEAN,7
UGLY,1
them!...,1
"""CREWMAN",1
"#6""!",1
FLEEGMAN!,3
THEY,20
"NOW,",2
THEY?,2
footage.,4
device,27
episo--historical,1
document.,2
13...,2
familiar?...,1
"""Crewman",2
"#6""...",1
Guy.,7
excitement.,9
We~re,1
oetting,1
"hammered,",2
Return,11
fIre?,1
LATHE???,1
Guy.',1
contruct,1
weapon.,34
lathe?...,1
BECAUSE,8
DIED,1
EPISODE,1
31!,1
Guy!,2
31,6
not?!,9
Episode,2
screwed...,2
IMPORTANT,3
DIE,3
turbo.,1
"""activate",1
turbo,3
"boosters"",",1
...Okay,2
it.',7
~e're,1
It.,11
ALEXANDER,1
ov),1
Grabtnar',1
"h~mmer,",1
